device_name,start_date_time,end_date_time,actual_start_time,actual_end_time,on_time_seconds,off_time_seconds,total_window_time_seconds,efficiency,has_gap_more_than_2_minutes
Machine3,2025-05-17 07:30,2025-05-18 07:30,2025-05-17 07:30,2025-05-18 07:29,67044,19398,86400,77.6,FALSE
Machine3,2025-05-18 07:30,2025-05-19 07:30,2025-05-18 07:30,2025-05-19 07:29,59790,26595,86400,69.2,FALSE
Machine3,2025-05-19 07:30,2025-05-20 07:30,2025-05-19 07:30,2025-05-20 07:29,66070,20303,86400,76.47,FALSE
Machine3,2025-05-20 07:30,2025-05-21 07:30,2025-05-20 07:30,2025-05-21 07:29,59368,27072,86400,68.71,FALSE
Machine3,2025-05-21 07:30,2025-05-22 07:30,2025-05-21 07:30,2025-05-22 07:29,55949,30456,86400,64.76,FALSE
Machine3,2025-05-22 07:30,2025-05-23 07:30,2025-05-22 07:30,2025-05-23 07:29,58365,28014,86400,67.55,FALSE
Machine3,2025-05-23 07:30,2025-05-24 07:30,2025-05-23 07:30,2025-05-24 07:29,64598,21783,86400,74.77,FALSE
Machine3,2025-05-24 07:30,2025-05-25 07:30,2025-05-24 07:30,2025-05-25 07:29,65271,21170,86400,75.55,FALSE
Machine3,2025-05-25 07:30,2025-05-26 07:30,2025-05-25 07:30,2025-05-26 07:29,36042,50337,86400,41.72,FALSE
Machine3,2025-05-26 07:30,2025-05-27 07:30,2025-05-26 07:30,2025-05-27 07:29,59288,27104,86400,68.62,FALSE
Machine3,2025-05-27 07:30,2025-05-28 07:30,2025-05-27 07:30,2025-05-28 07:29,62836,23584,86400,72.73,FALSE
Machine3,2025-05-28 07:30,2025-05-29 07:30,2025-05-28 07:30,2025-05-29 07:29,57996,28370,86400,67.12,FALSE
Machine3,2025-05-29 07:30,2025-05-30 07:30,2025-05-29 07:30,2025-05-30 07:29,60916,25528,86400,70.5,FALSE
Machine3,2025-05-30 07:30,2025-05-31 07:30,2025-05-30 07:30,2025-05-31 07:29,64109,22292,86400,74.2,FALSE
Machine3,2025-05-31 07:30,2025-06-01 07:30,2025-05-31 07:30,2025-06-01 07:29,64063,22317,86400,74.15,FALSE
Machine3,2025-06-01 07:30,2025-06-02 07:30,2025-06-01 07:30,2025-06-02 07:29,70391,15998,86400,81.47,FALSE
Machine3,2025-06-02 07:30,2025-06-03 07:30,2025-06-02 07:30,2025-06-03 07:29,48667,37759,86400,56.33,FALSE
Machine3,2025-06-03 07:30,2025-06-04 07:30,2025-06-03 07:30,2025-06-04 07:29,50445,35934,86400,58.39,FALSE
Machine3,2025-06-04 07:30,2025-06-05 07:30,2025-06-04 07:30,2025-06-05 07:29,51728,34686,86400,59.87,FALSE
Machine3,2025-06-05 07:30,2025-06-06 07:30,2025-06-05 07:30,2025-06-06 07:29,48633,37747,86400,56.29,FALSE
Machine3,2025-06-06 07:30,2025-06-07 07:30,2025-06-06 07:30,2025-06-07 07:29,53447,32936,86400,61.86,FALSE
Machine3,2025-06-07 07:30,2025-06-08 07:30,2025-06-07 07:30,2025-06-08 07:29,64122,22334,86400,74.22,FALSE
Machine3,2025-06-08 07:30,2025-06-09 07:30,2025-06-08 07:30,2025-06-09 05:29,39042,40141,86400,45.19,FALSE
